*BIDIRECTIONAL
*types,1
*item,Venetian 0 deg
#(3 datatypes: Te_g_rho, Te_abs_n_diffuse, Te_g_only)
*datatype,Te_g_rho
*layers,3
*sets,3
# Next four lines are not used (only for documentation)
# Properties of DGU: 
# 2 x 3mm low-E with venetian blinds in three states: 0, 45 and 90 deg.
# g0 = 0.606;
# tauvis0 = 0.792;
# udgu := 1.955;
*start_set 
*set_type 1, #2x3mm low-E-V0 
*Uvalue 1.955
*Rexternal 0.04
*Rinternal 0.13
#Next 2 lines: only used for datatype 1 (Te_abs_n_diffuse)
*diffuse_abs,0.26,0.521,0.002,0,0.007
*diffuse_trn,0.345
*direct_angs,37,37
*data
#Azimuth,Height,Te,g,rho
-20,70,0.049,0.049,0.498
-20,75,0.042,0.042,0.526
-20,80,0.036,0.036,0.555
-20,85,0.036,0.036,0.555
-20,90,0.036,0.036,0.555
-15,-90,0.036,0.036,0.555
-15,-85,0.036,0.036,0.555
-15,-80,0.036,0.036,0.555
-15,-75,0.043,0.043,0.524
-15,-70,0.050,0.050,0.493
-15,-65,0.062,0.062,0.442
-15,-60,0.075,0.075,0.390
-15,-55,0.088,0.088,0.348
-15,-50,0.102,0.102,0.306
-15,-45,0.124,0.124,0.292
-15,-40,0.146,0.146,0.279
-15,-35,0.182,0.182,0.266
-15,-30,0.217,0.217,0.252
-15,-25,0.272,0.272,0.242
-15,-20,0.327,0.327,0.232
-15,-15,0.376,0.376,0.223
-15,-10,0.424,0.424,0.214
-15,-5,0.470,0.470,0.206
-15,0,0.517,0.517,0.198
-15,5,0.470,0.470,0.206
-15,10,0.424,0.424,0.214
-15,15,0.376,0.376,0.223
-15,20,0.327,0.327,0.232
-15,25,0.272,0.272,0.242
-15,30,0.217,0.217,0.252
-15,35,0.182,0.182,0.266
-15,40,0.146,0.146,0.279
-15,45,0.124,0.124,0.292
-15,50,0.102,0.102,0.306
-15,55,0.088,0.088,0.348
-15,60,0.075,0.075,0.390
-15,65,0.062,0.062,0.442
-15,70,0.050,0.050,0.493
-15,75,0.043,0.043,0.524
-15,80,0.036,0.036,0.555
-15,85,0.036,0.036,0.555
-15,90,0.036,0.036,0.555
-10,-90,0.036,0.036,0.555
-10,-85,0.036,0.036,0.555
-10,-80,0.036,0.036,0.555
-10,-75,0.043,0.043,0.522
-10,-70,0.051,0.051,0.488
-10,-65,0.064,0.064,0.435
-10,-60,0.076,0.076,0.382
-10,-55,0.091,0.091,0.343
-10,-50,0.105,0.105,0.303
-10,-45,0.126,0.126,0.289
-10,-40,0.146,0.146,0.276
-10,-35,0.184,0.184,0.263
-10,-30,0.223,0.223,0.251
-10,-25,0.279,0.279,0.240
-10,-20,0.334,0.334,0.230
-10,-15,0.381,0.381,0.222
-10,-10,0.427,0.427,0.214
-10,-5,0.473,0.473,0.206
-10,0,0.520,0.520,0.198
-10,5,0.473,0.473,0.206
-10,10,0.427,0.427,0.214
-10,15,0.381,0.381,0.222
-10,20,0.334,0.334,0.230
-10,25,0.279,0.279,0.240
-10,30,0.223,0.223,0.251
-10,35,0.184,0.184,0.263
-10,40,0.146,0.146,0.276
-10,45,0.126,0.126,0.289
-10,50,0.105,0.105,0.303
-10,55,0.091,0.091,0.343
-10,60,0.076,0.076,0.382
